x,y
-100,10203
-99,10002
-98,9803
-97,9606
-96,9411
-95,9218
-94,9027
-93,8838
-92,8651
-91,8466
-90,8283
-89,8102
-88,7923
-87,7746
-86,7571
-85,7398
-84,7227
-83,7058
-82,6891
-81,6726
-80,6563
-79,6402
-78,6243
-77,6086
-76,5931
-75,5778
-74,5627
-73,5478
-72,5331
-71,5186
-70,5043
-69,4902
-68,4763
-67,4626
-66,4491
-65,4358
-64,4227
-63,4098
-62,3971
-61,3846
-60,3723
-59,3602
-58,3483
-57,3366
-56,3251
-55,3138
-54,3027
-53,2918
-52,2811
-51,2706
-50,2603
-49,2502
-48,2403
-47,2306
-46,2211
-45,2118
-44,2027
-43,1938
-42,1851
-41,1766
-40,1683
-39,1602
-38,1523
-37,1446
-36,1371
-35,1298
-34,1227
-33,1158
-32,1091
-31,1026
-30,963
-29,902
-28,843
-27,786
-26,731
-25,678
-24,627
-23,578
-22,531
-21,486
-20,443
-19,402
-18,363
-17,326
-16,291
-15,258
-14,227
-13,198
-12,171
-11,146
-10,123
-9,102
-8,83
-7,66
-6,51
-5,38
-4,27
-3,18
-2,11
-1,6
0,3
1,2
2,3
3,6
4,11
5,18
6,27
7,38
8,51
9,66
10,83
11,102
12,123
13,146
14,171
15,198
16,227
17,258
18,291
19,326
20,363
21,402
22,443
23,486
24,531
25,578
26,627
27,678
28,731
29,786
30,843
31,902
32,963
33,1026
34,1091
35,1158
36,1227
37,1298
38,1371
39,1446
40,1523
41,1602
42,1683
43,1766
44,1851
45,1938
46,2027
47,2118
48,2211
49,2306
50,2403
51,2502
52,2603
53,2706
54,2811
55,2918
56,3027
57,3138
58,3251
59,3366
60,3483
61,3602
62,3723
63,3846
64,3971
65,4098
66,4227
67,4358
68,4491
69,4626
70,4763
71,4902
72,5043
73,5186
74,5331
75,5478
76,5627
77,5778
78,5931
79,6086
80,6243
81,6402
82,6563
83,6726
84,6891
85,7058
86,7227
87,7398
88,7571
89,7746
90,7923
91,8102
92,8283
93,8466
94,8651
95,8838
96,9027
97,9218
98,9411
99,9606
100,9803
